Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,31169,-,-,India,19.95,76.45,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed
2001,3,11,5,30,0,0,15,20.66216484253789,954.5640258789062,2.6403844356536865
2001,3,11,6,30,0,0,14,21.79297370357,955.3194580078125,2.3184115886688232
2001,3,11,7,30,95,146,13,25.844057317256727,956.25,2.097585916519165
2001,3,11,8,30,179,417,12,30.29243361463881,956.643798828125,1.979703664779663
2001,3,11,9,30,198,617,12,33.340354721684434,956.4566040039062,1.7552493810653687
2001,3,11,10,30,222,696,11,35.63919378821947,955.8024291992188,1.522795557975769
2001,3,11,11,30,236,738,10,37.31595658424243,954.64990234375,1.1512386798858643
2001,3,11,12,30,374,491,9,38.26172898911392,953.5156860351562,0.6952608227729797
2001,3,11,13,30,384,452,9,38.28429417152097,952.5762329101562,0.3714520037174225
2001,3,11,14,30,382,359,9,35.97514695730956,951.7005004882812,0.7464118003845215
2001,3,11,15,30,201,626,11,33.5513634295574,951.7053833007812,1.493342399597168
2001,3,11,16,30,163,495,12,31.455893585052877,952.0901489257812,2.4139950275421143
2001,3,11,17,30,111,192,13,29.28729747215789,953.405029296875,3.213236093521118
2001,3,11,18,30,0,0,14,27.52057134250356,954.447998046875,3.775376558303833
2001,3,11,19,30,0,0,14,26.388667048781258,955.5442504882812,4.051130771636963
2001,3,11,20,30,0,0,14,25.78201286456772,955.8598022460938,3.9927613735198975
2001,3,11,21,30,0,0,14,25.392246764160063,955.8434448242188,3.8028066158294678
2001,3,11,22,30,0,0,14,25.02239135718105,955.5287475585938,3.5539276599884033
2001,3,11,23,30,0,0,14,24.719443272212914,954.8223266601562,3.269425868988037
2001,3,12,0,30,0,0,14,24.450318760059304,953.9227294921875,3.0375514030456543
2001,3,12,1,30,0,0,14,24.1146449683813,953.237548828125,2.8892693519592285
2001,3,12,2,30,0,0,14,23.759033556656618,952.5894165039062,2.734772205352783
2001,3,12,3,30,0,0,13,23.554681844183165,952.6356811523438,2.593337059020996
2001,3,12,4,30,0,0,13,23.36504748310159,953.060302734375,2.5906410217285156
2001,3,12,5,30,0,0,13,23.199618575613897,953.481201171875,2.6856274604797363
2001,3,12,6,30,0,0,13,24.0470157678335,954.4194946289062,2.7031521797180176
2001,3,12,7,30,86,223,13,27.244084598164136,954.8582763671875,2.8835346698760986
2001,3,12,8,30,157,474,12,30.61367423718673,955.2341918945312,3.230034112930298
2001,3,12,9,30,198,615,13,32.8591733656304,955.31005859375,3.147258758544922
2001,3,12,10,30,222,694,13,34.50194952801331,954.9708862304688,2.864203929901123
2001,3,12,11,30,235,735,12,35.60743182261314,953.8475341796875,2.5468051433563232
2001,3,12,12,30,240,748,12,36.03227551620802,952.7691040039062,2.236128091812134
2001,3,12,13,30,443,141,13,35.60987114553433,951.956298828125,2.000425100326538
2001,3,12,14,30,412,268,13,34.010010192572906,951.4707641601562,2.0419070720672607
2001,3,12,15,30,277,55,13,32.09718920952815,951.2462158203125,2.6253557205200195
2001,3,12,16,30,235,176,14,29.932973069690775,951.8514404296875,3.529541492462158
2001,3,12,17,30,113,77,15,27.630180679900946,952.6599731445312,4.211474418640137
2001,3,12,18,30,0,0,16,26.408464332410063,953.5230102539062,4.579556941986084
2001,3,12,19,30,0,0,16,25.651647048842733,954.2702026367188,4.468374252319336
2001,3,12,20,30,0,0,17,25.110567817563208,954.7492065429688,3.9621939659118652
2001,3,12,21,30,0,0,17,24.721881192892795,954.6215209960938,3.344184637069702
2001,3,12,22,30,0,0,17,24.388663168663356,954.4405517578125,2.752371311187744
2001,3,12,23,30,0,0,17,24.070852871133354,954.0607299804688,2.3218414783477783
2001,3,13,0,30,0,0,18,23.735020882401727,953.3013916015625,2.1583383083343506
2001,3,13,1,30,0,0,18,23.38691174676984,952.698974609375,2.162205934524536
2001,3,13,2,30,0,0,18,23.058791446766747,952.2335815429688,2.219730854034424
2001,3,13,3,30,0,0,18,22.831355720840804,952.1074829101562,2.2997794151306152
2001,3,13,4,30,0,0,18,22.68001615145903,952.5216064453125,2.3563232421875
2001,3,13,5,30,0,0,18,22.53082510028611,953.1690673828125,2.3672122955322266
2001,3,13,6,30,0,0,17,22.975098604757477,954.1273803710938,2.2965688705444336
2001,3,13,7,30,98,98,17,24.6950472199631,954.9366455078125,2.259249448776245
2001,3,13,8,30,198,373,16,27.46010800231568,955.4164428710938,2.465883255004883
2001,3,13,9,30,198,614,15,31.206558864810006,955.5863037109375,2.556530475616455
2001,3,13,10,30,366,284,15,33.25947512545798,954.7999267578125,2.455970287322998
2001,3,13,11,30,235,735,14,34.84861616875514,953.7614135742188,2.2462360858917236
2001,3,13,12,30,372,591,14,35.97551716188292,952.4044799804688,1.969570279121399
2001,3,13,13,30,451,304,13,36.343093057775036,951.2718505859375,1.7354471683502197
2001,3,13,14,30,401,136,13,35.69614644500501,950.362548828125,1.6637187004089355
2001,3,13,15,30,312,76,13,34.09562460337048,950.277099609375,1.7685894966125488
2001,3,13,16,30,224,272,13,31.772388622932624,950.4630737304688,2.3065736293792725
2001,3,13,17,30,107,164,14,29.097383123697057,951.5181274414062,3.0758206844329834
2001,3,13,18,30,0,0,15,27.343248760863787,951.9949951171875,3.864593505859375
2001,3,13,19,30,0,0,16,26.29301773759164,952.5709838867188,4.284114360809326
2001,3,13,20,30,0,0,16,25.429461004266784,953.298095703125,4.172225475311279
2001,3,13,21,30,0,0,16,24.667706927498784,953.3251953125,3.858975410461426
2001,3,13,22,30,0,0,17,23.95479911444704,953.3645629882812,3.5289864540100098
2001,3,13,23,30,0,0,17,23.270941557046058,952.9049072265625,3.2788219451904297
