,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
200,2001,1,9,8,30,122,406,3,21.064293851664047,956.7658081054688,1.3242892026901243,08:30:00
201,2001,1,9,9,30,170,579,2,26.39572564964766,956.9580078125,1.3802838325500488,09:30:00
202,2001,1,9,10,30,197,673,3,29.879276489871245,956.74951171875,1.2060753107070925,10:30:00
203,2001,1,9,11,30,212,721,4,31.753949837940354,955.804443359375,0.9742403030395508,11:30:00
204,2001,1,9,12,30,217,736,4,32.7227037182933,954.6201171875,0.7601022124290466,12:30:00
205,2001,1,9,13,30,212,721,5,32.84333629330399,953.3709716796876,0.5735225677490234,13:30:00
206,2001,1,9,14,30,198,674,5,32.161634633147806,952.8284912109376,0.4379978179931641,14:30:00
207,2001,1,9,15,30,171,581,5,30.5644459781073,952.6351318359376,0.4082653224468231,15:30:00
208,2001,1,9,16,30,124,412,7,27.93437439891915,953.0698852539062,0.7910448312759399,16:30:00
209,2001,1,9,17,30,39,14,11,24.760074887127413,953.6273193359376,1.6732271909713743,17:30:00
210,2001,1,9,18,30,0,0,9,23.608712672545717,954.2815551757812,2.3801522254943848,18:30:00
222,2001,1,10,6,30,0,0,12,18.061603794992834,956.243408203125,2.3533663749694824,06:30:00
223,2001,1,10,7,30,39,28,13,19.268887570686733,957.3429565429688,2.2055552005767822,07:30:00
224,2001,1,10,8,30,118,379,14,21.647012515646,957.8547973632812,2.0925133228301998,08:30:00
225,2001,1,10,9,30,166,548,16,24.64169909099803,958.2155151367188,2.110735416412353,09:30:00
226,2001,1,10,10,30,193,643,16,28.591592392791373,957.96240234375,1.7972378730773926,10:30:00
227,2001,1,10,11,30,208,692,16,30.925942888440147,956.6043701171876,1.3253011703491209,11:30:00
228,2001,1,10,12,30,213,709,16,31.31480291483149,955.02294921875,0.991764485836029,12:30:00
229,2001,1,10,13,30,209,696,16,31.673240035039555,954.0344848632812,0.8220982551574707,13:30:00
230,2001,1,10,14,30,308,341,15,30.94287715615053,953.134033203125,0.7460768818855286,14:30:00
231,2001,1,10,15,30,250,306,15,29.49531579990651,952.6982421875,0.9007999300956726,15:30:00
232,2001,1,10,16,30,123,19,15,27.427520746713185,953.0496826171876,1.3743460178375244,16:30:00
233,2001,1,10,17,30,31,0,15,25.16888995719444,953.2679443359376,2.2047011852264404,17:30:00
234,2001,1,10,18,30,0,0,15,24.444761714952165,953.9747314453124,2.8419575691223145,18:30:00
246,2001,1,11,6,30,0,0,17,19.016446122172113,953.8419799804688,2.911704063415528,06:30:00
247,2001,1,11,7,30,36,16,17,20.35731857317768,954.5778198242188,2.735482931137085,07:30:00
248,2001,1,11,8,30,119,381,17,23.981265874011914,955.4529418945312,2.88297700881958,08:30:00
249,2001,1,11,9,30,166,551,16,27.583399622122045,956.102294921875,2.9869210720062256,09:30:00
250,2001,1,11,10,30,193,645,16,30.528344054788192,955.5426635742188,2.8085405826568604,10:30:00
251,2001,1,11,11,30,208,694,15,32.462057731468235,954.4642944335938,2.574837207794189,11:30:00
252,2001,1,11,12,30,213,709,14,33.4366099605017,953.64453125,2.3768153190612797,12:30:00
253,2001,1,11,13,30,209,695,13,33.286734535290925,952.5567016601562,2.2497594356536865,13:30:00
254,2001,1,11,14,30,195,649,13,32.25072019778298,951.696044921875,2.0330939292907715,14:30:00
255,2001,1,11,15,30,245,295,13,30.795286561474484,951.0107421875,1.773195505142212,15:30:00
256,2001,1,11,16,30,123,396,14,29.27455500077065,951.0809326171876,1.439873456954956,16:30:00
257,2001,1,11,17,30,40,10,16,27.38639349206312,951.2971801757812,1.2747960090637207,17:30:00
258,2001,1,11,18,30,0,0,16,26.963062547007492,951.7267456054688,1.461692214012146,18:30:00
270,2001,1,12,6,30,0,0,15,20.4956032604307,953.9251098632812,1.7676833868026731,06:30:00
271,2001,1,12,7,30,35,15,15,21.120853832739442,954.5966186523438,1.4505348205566406,07:30:00
272,2001,1,12,8,30,155,126,13,23.456820271089725,955.5180053710938,1.1799805164337158,08:30:00
273,2001,1,12,9,30,241,263,12,26.105293948127947,955.7223510742188,1.0091738700866701,09:30:00
274,2001,1,12,10,30,193,645,12,28.66230386316801,955.6795043945312,1.0974695682525637,10:30:00
275,2001,1,12,11,30,281,552,12,30.72699353137989,955.0635986328124,1.2204222679138184,11:30:00
276,2001,1,12,12,30,213,708,13,32.285822727550176,954.009521484375,1.210774064064026,12:30:00
277,2001,1,12,13,30,350,80,13,32.567648920950774,952.8829345703124,1.1554406881332395,13:30:00
